Parameter,Telescope,Filter,Epoch,Best,Error
a/r*,-,-,-,10.21139908210047,0.23750965361145143
a/AU,-,-,-,0.040839488323137454,0.0017122743727828527
inc,-,-,-,88.4574777799772,0.4056049223998251
rp/r*,-,0,-,0.11821999370010558,0.0012229877289455366
q0,-,0,-,0.1991690464277119,0.21322664520384482
q1,-,0,-,0.8322784550071713,0.19815121594131838
P,-,-,-,2.798579206577364,-
t0,-,-,-,2456297.719694774,-
ecc,-,-,-,0.0,-
w,-,-,-,90.0,-
norm,0,0,0,1,-
u0,-,0,-,0.7428644405062207,0.4352066659167565
u1,-,0,-,-0.29658084633351095,0.2376644384825048
